Start Index,End Index
49408000,49648000
49744000,49952000
50960000,51184000
51272000,51496000
51592000,51800000
51896000,52080000
52192000,52432000
52504000,52736000
52888000,53064000
53184000,53344000
53440000,53624000
53736000,53952000
54120000,54416000
54704000,54944000
55200000,55384000
55608000,55744000
55992000,56232000
56376000,56608000
56704000,56888000
57104000,57296000
57624000,57800000
57968000,58128000
58392000,58568000
58728000,58896000
59160000,59408000
59456000,59696000
59920000,60120000
60280000,60464000
60848000,61048000
61520000,61720000
61896000,62080000
62336000,62528000
62568000,62784000
63024000,63200000
63352000,63512000
63784000,64000000
64176000,64368000
64608000,64800000
64864000,65040000
65392000,65608000
65728000,65928000
66160000,66296000
66416000,66536000
66656000,66848000
67040000,67216000
67504000,67688000
67720000,68008000
68088000,68312000
68632000,68832000
69144000,69344000
69392000,69584000
69640000,69864000
69904000,70088000
70952000,71128000
71160000,71352000
71544000,71704000
71760000,71904000
71992000,72152000
72360000,72552000
72824000,72984000
73104000,73256000
73608000,73784000
73832000,74008000
74168000,74336000
74376000,74568000
74976000,75120000
75328000,75480000
75576000,75744000
75784000,75984000
76048000,76248000
76360000,76552000
76768000,76928000
76976000,77136000
77680000,77840000
77888000,78024000
78096000,78248000
78296000,78344000
78544000,78736000
78800000,79016000
79312000,79448000
79512000,79648000
79688000,79832000
80064000,80240000
80296000,80448000
80776000,80968000
81040000,81312000
81376000,81544000
81592000,81792000
84928000,85080000
85120000,85432000
85120000,85432000
85800000,85984000
86024000,86184000
86368000,86608000
86648000,86856000
86936000,87008000
86936000,87008000
87072000,87216000
87296000,87448000
87640000,87816000
87872000,88088000
88232000,88400000
88528000,88712000
88760000,88992000
89192000,89448000
89680000,89928000
90104000,90272000
90632000,90760000
90840000,90976000
91064000,91216000
91272000,91408000
91592000,91736000
91784000,91920000
92032000,92192000
92232000,92368000
92672000,92816000
93008000,93152000
93216000,93352000
93560000,93736000
93992000,94208000
94256000,94424000
94712000,94904000
95016000,95072000
95568000,95760000
96144000,96432000
96536000,96736000
96968000,97112000
97160000,97352000
97400000,97544000
97624000,97776000
97824000,97968000
98040000,98208000
98256000,98400000
98456000,98600000
99784000,99920000
100128000,100296000
100536000,100712000
100776000,100936000
101128000,101264000
101312000,101440000
101496000,101648000
101856000,102040000
102104000,102272000
102496000,102632000
102672000,102808000
102856000,102976000
103056000,103320000
103056000,103320000
103472000,103640000
103696000,103928000
103960000,104240000
104888000,105064000
105312000,105496000
105712000,105840000
105944000,106112000
106152000,106312000
106576000,106752000
106808000,106984000
107104000,107320000
107352000,107624000
107816000,108024000
108120000,108296000
108520000,108720000
108880000,109064000
109456000,109584000
109640000,109760000
109920000,110104000
110144000,110344000
110488000,110664000
110744000,110904000
111176000,111424000
111488000,111688000
112168000,112336000
112520000,112672000
112936000,113096000
113232000,113384000
114016000,114168000
114216000,114376000
114440000,114608000
115056000,115224000
115256000,115448000
116272000,116584000
116272000,116584000
116672000,116744000
116920000,117240000
117600000,117776000
117984000,118112000
118240000,118432000
118584000,118776000
118840000,119088000
119128000,119312000
119376000,119648000
119872000,120016000
148768000,148832000
165064000,165104000
