Start Index,End Index
42528000,42688000
42856000,43080000
43376000,43584000
43624000,43808000
44824000,45016000
45096000,45304000
46576000,46760000
46824000,47008000
48080000,48432000
48080000,48432000
48576000,48800000
48896000,49072000
49104000,49296000
50160000,50400000
50160000,50400000
50568000,51024000
51112000,51816000
51112000,51816000
51112000,51816000
51872000,52144000
52288000,52456000
52576000,52792000
52912000,53216000
53320000,53608000
53800000,54072000
54208000,54432000
54512000,54672000
54744000,54904000
54984000,55232000
55288000,55520000
57032000,57224000
57456000,57616000
57736000,57984000
58048000,58288000
58408000,58608000
58696000,58888000
58968000,59216000
58968000,59216000
59288000,59504000
59592000,59760000
59808000,59960000
60120000,60280000
60328000,60472000
60560000,60840000
60896000,61176000
61264000,61472000
61552000,61720000
61824000,62048000
61824000,62048000
62120000,62328000
62432000,62584000
62656000,62832000
63080000,63304000
63352000,63592000
63672000,63936000
64008000,64160000
64392000,64528000
64608000,64744000
64856000,65040000
65080000,65256000
65368000,65536000
65672000,65840000
66008000,66192000
66240000,66424000
66528000,66744000
66896000,67256000
67440000,67656000
67792000,67944000
68040000,68360000
68448000,68640000
68448000,68640000
68696000,68872000
68976000,69160000
69240000,69544000
69688000,69824000
69904000,70224000
69904000,70224000
70456000,70608000
70768000,71008000
71072000,71232000
71336000,71568000
71648000,71840000
72080000,72288000
72328000,72552000
72752000,72904000
72944000,73144000
73296000,73472000
73504000,73648000
73840000,74000000
74192000,74432000
74512000,74688000
74512000,74688000
74736000,74880000
74936000,75144000
75208000,75472000
75608000,75696000
75872000,76032000
76104000,76280000
76392000,76560000
76640000,76856000
76944000,77296000
77536000,77912000
77968000,78312000
78360000,78720000
79432000,79656000
80016000,80224000
80432000,80584000
80624000,80728000
80824000,81104000
81232000,81432000
81616000,81792000
82264000,82456000
82576000,82736000
82840000,83032000
83096000,83288000
83344000,83488000
83528000,83664000
86120000,86560000
86120000,86560000
86880000,87176000
86880000,87176000
87216000,87448000
88240000,88272000
88376000,88528000
88568000,88760000
89944000,90144000
90200000,90368000
92408000,93576000
92408000,93576000
92408000,93576000
92408000,93576000
92408000,93576000
93600000,93880000
93944000,94256000
94288000,94656000
94752000,95352000
94752000,95352000
94752000,95352000
95400000,95688000
95400000,95688000
95400000,95688000
95736000,95936000
96032000,96720000
96032000,96720000
96832000,97184000
97328000,97672000
97760000,98016000
98048000,98248000
98352000,98528000
98776000,99000000
99048000,99312000
99760000,99936000
100032000,100184000
100568000,100680000
100904000,101008000
101056000,101184000
101272000,101424000
101472000,101616000
101736000,101896000
102008000,102160000
102400000,102528000
102600000,102728000
102808000,102968000
103032000,103192000
103320000,103472000
103536000,103736000
103872000,104024000
104088000,104256000
104344000,104496000
104928000,105064000
105168000,105296000
105352000,105480000
105544000,105728000
105776000,105920000
106000000,106160000
106240000,106368000
106496000,106632000
106696000,106832000
106912000,107128000
107168000,107352000
107416000,107592000
107640000,107808000
107928000,108136000
108192000,108400000
109280000,109440000
109544000,109696000
109736000,109880000
