Start Index,End Index
28912000,29064000
43752000,43936000
43984000,44304000
48288000,48488000
51928000,52376000
51928000,52376000
52464000,52872000
52912000,53088000
53120000,53256000
53336000,53488000
53536000,53696000
53744000,53944000
53976000,54200000
54304000,54496000
54536000,54704000
55112000,55272000
55312000,55504000
55792000,56064000
56120000,56328000
56696000,56832000
56880000,57000000
57280000,57416000
57464000,57648000
57896000,58072000
58112000,58352000
58728000,58880000
58920000,59120000
59392000,59528000
59800000,59936000
60104000,60224000
60464000,60616000
60688000,60856000
61032000,61248000
61336000,61544000
61736000,61856000
61936000,62120000
62456000,62624000
63040000,63168000
63288000,63424000
63768000,63912000
64000000,64128000
64512000,64704000
65072000,65256000
65296000,65432000
65736000,65848000
65936000,66056000
66144000,66288000
66432000,66568000
66880000,67040000
67096000,67232000
67552000,67688000
67736000,67872000
68096000,68200000
68304000,68448000
69680000,69840000
69912000,70072000
70232000,70368000
70624000,70800000
70856000,71032000
71288000,71456000
71536000,71720000
71872000,72080000
72480000,72624000
72672000,72824000
72944000,73064000
73144000,73304000
73400000,73568000
73904000,74096000
74152000,74288000
74368000,74504000
74568000,74688000
74824000,75000000
75240000,75392000
75480000,75672000
75760000,75936000
76104000,76264000
76336000,76504000
76640000,76824000
77008000,77200000
77256000,77448000
77584000,77744000
77800000,77936000
78424000,78608000
78664000,78848000
78992000,79184000
79232000,79448000
79528000,79680000
79728000,79856000
79984000,80240000
80312000,80472000
80616000,80888000
80976000,81160000
81328000,81496000
81560000,81704000
86912000,87056000
87152000,87536000
87800000,88024000
88064000,88264000
88680000,88880000
89208000,89376000
89712000,89864000
89904000,90064000
90160000,90360000
90400000,90568000
90752000,90944000
90984000,91216000
91552000,91704000
91768000,92000000
92344000,92512000
92560000,92744000
93024000,93120000
93024000,93120000
93176000,93352000
93400000,93576000
94048000,94208000
94256000,94392000
94624000,94784000
94904000,95032000
95224000,95368000
95672000,95792000
95832000,95968000
96192000,96328000
96376000,96552000
96760000,96880000
97064000,97176000
97352000,97464000
97776000,97912000
97960000,98096000
98728000,98856000
98904000,99040000
99144000,99280000
99520000,99656000
99752000,99880000
99992000,100120000
100176000,100296000
100416000,100560000
100656000,100864000
101208000,101400000
101832000,101960000
102016000,102160000
102400000,102528000
102584000,102752000
103024000,103184000
103248000,103408000
103624000,103768000
103848000,103960000
104160000,104280000
104368000,104472000
104648000,104808000
104880000,105032000
105296000,105432000
105488000,105712000
106160000,106296000
106432000,106688000
107288000,107432000
107480000,107744000
107920000,108224000
108472000,108632000
109032000,109264000
109624000,109816000
109864000,110144000
113280000,113384000
113448000,113600000
113672000,113760000
114032000,114168000
114344000,114480000
114528000,114672000
114728000,114888000
114936000,115056000
115112000,115264000
115384000,115512000
115712000,115856000
115904000,116048000
116104000,116200000
116376000,116456000
116568000,116696000
116752000,116872000
116952000,117128000
117168000,117336000
117400000,117616000
117656000,117800000
117912000,118096000
118136000,118312000
118768000,118904000
118952000,119104000
120424000,120552000
120600000,120744000
120968000,121120000
121248000,121424000
121768000,121936000
122016000,122160000
122424000,122600000
122648000,122792000
124040000,124224000
124256000,124416000
126248000,126416000
126504000,126632000
126760000,126992000
127072000,127224000
127472000,127648000
127720000,127864000
128096000,128240000
128304000,128440000
128616000,128816000
128872000,129032000
129136000,129288000
129344000,129480000
129704000,129840000
129888000,130024000
130608000,130800000
130848000,131032000
131096000,131248000
131296000,131448000
132272000,132480000
132544000,132712000
133408000,133600000
133648000,133816000
134088000,134240000
134320000,134472000
134528000,134736000
134776000,135008000
135776000,135880000
137176000,137336000
137384000,137536000
139096000,139256000
139312000,139480000
139536000,139672000
139720000,139880000
142408000,142560000
142600000,142768000
147664000,148312000
148360000,148824000
151440000,151592000
151632000,151800000
152200000,152360000
152424000,152616000
153688000,153880000
153912000,154072000
154128000,154296000
154424000,154568000
155792000,155944000
155984000,156136000
159216000,159360000
159400000,159560000
159632000,159784000
159816000,159976000
163304000,163488000
163528000,163720000
166408000,166568000
166600000,166800000
