Start Index,End Index
45024000,45192000
45240000,45424000
46552000,46728000
46776000,46960000
48544000,48704000
48776000,48936000
49016000,49184000
49232000,49392000
49904000,50056000
50120000,50280000
50472000,50624000
50664000,50824000
51144000,51328000
51376000,51560000
51672000,51872000
51904000,52096000
52152000,52360000
52392000,52648000
52704000,52984000
53016000,53424000
53576000,53832000
53880000,54312000
54392000,54600000
54680000,54896000
55264000,55416000
55456000,55632000
55728000,55912000
56024000,56176000
56216000,56360000
56488000,56672000
56712000,56840000
56952000,57408000
56952000,57408000
57712000,57896000
58016000,58248000
58280000,58488000
58696000,58912000
58960000,59144000
59408000,59568000
59616000,59808000
60032000,60184000
60240000,60400000
60472000,60664000
60720000,60896000
61000000,61192000
61264000,61448000
61488000,61760000
61840000,61992000
62032000,62176000
62312000,62440000
62552000,62656000
62792000,62936000
63096000,63240000
63400000,63584000
63400000,63584000
63640000,63856000
63928000,64104000
64152000,64312000
64552000,64720000
64768000,64936000
65056000,65232000
65264000,65488000
65552000,65728000
65768000,65960000
66056000,66200000
66240000,66560000
66240000,66560000
66240000,66560000
66864000,67032000
67072000,67248000
67440000,67592000
67720000,67912000
68000000,68224000
68352000,68640000
68672000,68912000
68992000,69152000
69392000,69664000
69712000,70096000
70352000,70576000
70616000,70944000
71168000,71320000
71368000,71520000
71632000,71832000
71872000,72120000
72424000,72568000
72624000,72776000
73088000,73352000
73408000,73680000
73856000,74112000
74168000,74432000
74936000,75104000
75176000,75328000
75600000,75816000
75864000,76120000
76344000,76536000
76592000,76768000
76952000,77136000
77200000,77336000
77680000,77848000
77912000,78088000
78360000,78504000
78544000,78720000
78816000,78968000
79008000,79168000
79384000,79568000
79624000,79800000
79984000,80136000
80184000,80400000
80544000,80784000
80848000,80984000
81336000,81504000
81576000,81728000
81840000,82024000
82064000,82376000
82760000,83000000
83040000,83200000
83424000,83576000
83640000,83832000
83904000,83968000
84376000,84576000
84376000,84576000
84376000,84576000
84376000,84576000
84576000,84808000
84928000,85168000
85304000,85400000
85304000,85400000
85552000,85768000
85968000,86136000
86392000,86544000
86616000,86776000
87088000,87240000
87288000,87464000
87616000,87784000
87832000,87984000
88264000,88424000
88488000,88640000
88728000,88928000
89016000,89176000
89248000,89432000
89472000,89640000
89888000,90072000
90104000,90288000
91632000,91800000
91848000,92136000
92152000,92200000
92200000,92216000
92336000,92528000
92576000,92760000
93136000,93344000
93472000,93672000
93904000,94104000
94208000,94448000
94904000,95136000
95200000,95392000
96112000,96296000
96376000,96544000
96800000,96984000
97016000,97208000
97568000,97792000
97856000,98008000
98272000,98376000
98440000,98552000
98856000,99000000
99208000,99360000
99680000,99848000
99912000,100080000
100248000,100456000
100520000,100728000
100808000,101000000
101056000,101224000
101296000,101472000
101520000,101736000
101824000,102016000
102088000,102224000
102296000,102456000
102496000,102664000
102736000,102968000
103072000,103304000
103400000,103568000
103600000,103744000
103824000,104000000
104032000,104200000
104248000,104376000
104432000,104560000
104664000,104840000
104872000,105048000
105776000,105896000
106128000,106272000
106336000,106472000
106704000,106872000
106952000,107136000
107296000,107456000
107512000,107640000
107840000,108000000
108056000,108208000
108600000,108760000
108808000,109000000
109992000,110192000
110240000,110448000
110912000,111040000
111112000,111224000
111312000,111432000
111488000,111608000
111888000,112096000
112424000,112560000
112616000,112752000
149376000,149408000
