Start Index,End Index
232000,352000
448000,888000
448000,888000
15024000,15184000
15352000,15616000
23176000,23448000
23496000,23744000
48496000,48648000
48704000,48880000
48912000,49088000
49144000,49336000
49368000,49544000
49800000,49968000
50000000,50200000
50816000,51008000
51048000,51200000
51256000,51488000
51544000,51704000
51752000,51968000
52000000,52144000
52192000,52360000
52400000,52704000
52400000,52704000
52800000,52984000
53040000,53232000
53288000,53536000
53592000,53776000
53816000,54032000
54112000,54288000
54336000,54480000
54568000,54744000
54784000,54944000
55208000,55344000
55528000,55704000
55872000,56048000
56208000,56408000
56448000,56624000
56744000,56864000
56936000,57064000
57160000,57328000
57376000,57520000
57648000,57808000
57856000,57992000
58096000,58264000
58320000,58448000
58528000,58688000
58776000,58936000
58976000,59152000
59272000,59408000
59464000,59592000
59688000,59824000
59888000,60024000
60112000,60256000
60328000,60456000
60560000,60768000
60816000,61248000
61456000,61616000
61664000,61784000
61888000,62032000
62072000,62208000
62320000,62512000
62584000,62784000
62864000,63024000
63168000,63328000
63504000,63672000
63840000,64000000
64056000,64176000
64952000,65096000
65176000,65312000
65424000,65552000
65696000,65824000
65912000,66072000
66136000,66264000
66392000,66600000
66664000,66848000
66936000,67088000
67128000,67304000
67440000,67592000
67640000,67784000
67872000,67976000
68400000,68528000
68592000,68736000
68872000,69008000
69296000,69448000
69504000,69664000
69952000,70160000
70232000,70432000
70232000,70432000
70560000,70744000
89272000,89392000
89272000,89392000
89272000,89392000
89392000,89416000
89440000,89456000
89480000,89688000
90960000,91224000
91392000,91520000
92848000,93168000
93504000,93712000
93768000,94024000
94280000,94504000
94600000,94840000
94904000,95080000
95120000,95296000
95352000,95560000
95592000,95752000
95848000,96008000
96056000,96224000
96480000,96656000
96696000,96856000
97016000,97200000
97264000,97424000
97728000,97912000
98624000,99896000
98624000,99896000
98624000,99896000
98624000,99896000
98624000,99896000
100000000,100504000
100800000,101400000
100800000,101400000
100800000,101400000
101680000,102200000
102248000,102736000
102936000,103112000
103200000,103480000
103552000,103760000
103824000,104008000
104232000,104416000
104472000,104672000
104792000,104960000
105008000,105208000
105432000,105592000
105656000,105832000
105968000,106128000
106232000,106416000
106512000,106696000
106768000,106944000
107024000,107248000
107608000,107760000
107816000,107968000
108088000,108224000
108288000,108464000
108552000,108624000
108880000,109064000
109136000,109264000
109360000,109536000
109600000,109744000
109824000,110024000
110072000,110216000
110288000,110488000
110528000,110688000
110792000,110952000
111000000,111152000
111312000,111488000
111592000,111752000
111824000,111976000
112016000,112208000
112480000,112688000
112728000,112888000
113096000,113264000
113304000,113456000
113544000,113672000
113744000,113896000
113976000,114200000
114240000,114424000
114520000,114664000
114720000,114920000
116192000,116312000
117432000,117592000
117688000,117832000
118088000,118264000
118304000,118480000
118560000,118712000
118760000,118904000
119048000,119224000
119272000,119424000
119488000,119672000
119712000,119864000
119944000,120104000
120152000,120304000
120376000,120584000
120736000,120888000
120968000,121144000
121192000,121344000
121432000,121584000
121648000,121848000
122064000,122232000
122296000,122496000
124032000,124272000
124384000,124552000
126640000,126840000
126936000,127104000
127168000,127384000
127416000,127584000
127864000,128056000
128112000,128280000
128376000,128552000
128616000,128784000
129864000,130024000
130128000,130392000
130480000,130680000
130728000,130888000
130944000,131136000
131184000,131464000
135944000,136120000
136160000,136360000
136712000,136888000
136928000,137152000
140064000,140248000
140288000,140464000
140528000,140704000
140752000,140928000
140984000,141144000
141184000,141328000
141408000,141576000
141624000,141800000
142056000,142544000
142056000,142544000
143240000,143496000
143536000,143792000
143840000,144184000
144224000,144472000
145416000,145672000
145744000,145960000
146920000,147128000
147168000,147408000
147472000,148032000
147472000,148032000
151624000,151864000
151960000,152192000
152536000,152704000
152760000,152952000
153128000,153296000
153344000,153504000
155696000,155840000
155880000,156048000
156640000,156784000
156840000,157008000
164184000,164424000
164512000,164608000
169760000,169888000
169936000,170128000
170176000,170408000
