Start Index,End Index
43840000,44032000
44200000,44592000
44200000,44592000
48592000,48752000
48824000,49072000
49120000,49296000
49408000,49616000
49656000,49880000
49944000,50136000
50168000,50384000
50432000,50848000
50432000,50848000
50896000,51088000
51128000,51328000
51400000,51552000
51600000,51744000
51816000,52000000
52032000,52216000
52272000,52424000
52456000,52608000
52680000,52872000
52904000,53096000
53144000,53344000
53376000,53552000
53608000,53800000
53840000,54040000
54160000,54368000
54408000,54608000
55000000,55256000
55288000,55552000
55896000,56064000
56128000,56296000
56520000,56696000
56744000,56896000
57200000,57384000
57432000,57608000
57840000,58000000
58064000,58200000
58552000,58720000
58776000,58920000
59120000,59352000
59400000,59608000
59800000,59968000
60008000,60152000
97064000,97192000
97304000,97432000
97536000,97680000
97760000,97904000
98024000,98168000
98200000,98376000
98440000,98600000
98640000,98792000
98880000,99008000
99056000,99176000
99304000,99472000
99560000,99712000
99744000,99888000
99984000,100136000
100288000,100448000
100560000,101048000
101120000,101600000
101808000,101928000
101968000,102088000
102256000,102416000
102464000,102608000
102880000,103024000
103056000,103200000
103416000,103552000
103736000,104144000
104200000,104640000
104984000,105144000
105384000,105544000
105800000,106008000
106248000,106424000
106472000,106632000
107024000,107168000
107216000,107352000
107448000,107656000
107776000,107968000
108280000,108512000
108544000,108720000
109112000,109248000
109288000,109456000
109696000,109840000
109984000,110120000
110952000,111112000
111168000,111344000
111560000,111728000
111760000,111928000
112088000,112240000
112280000,112464000
112520000,112776000
112992000,113152000
113664000,114008000
113664000,114008000
114064000,114336000
114064000,114336000
114496000,114672000
114888000,115016000
115080000,115208000
115288000,115408000
115480000,115632000
115720000,115856000
115928000,116056000
117600000,117784000
121088000,121240000
121272000,121424000
121632000,121800000
121848000,122032000
122088000,122280000
122328000,122528000
122568000,122784000
122816000,122992000
123064000,123304000
123488000,123632000
123808000,124000000
124040000,124208000
124336000,124528000
124568000,124736000
124904000,125088000
125136000,125296000
125344000,125536000
125584000,125760000
125824000,126000000
126040000,126224000
127304000,127496000
127560000,127752000
127856000,128040000
128088000,128288000
128336000,128528000
128584000,128768000
129896000,130104000
130144000,130320000
130552000,130720000
130760000,130928000
133016000,133256000
133304000,133624000
133888000,134056000
134104000,134272000
134336000,134568000
134600000,135088000
134600000,135088000
137784000,137984000
138032000,138208000
138280000,138616000
138656000,138880000
139104000,139360000
139416000,139648000
140424000,140592000
140632000,140840000
140920000,141104000
141152000,141392000
142184000,142392000
142432000,142600000
142728000,142944000
143000000,143216000
143712000,143968000
144008000,144224000
145136000,145432000
145472000,145728000
147608000,147808000
147848000,148040000
148208000,148440000
148480000,148664000
148912000,149200000
149248000,149448000
151504000,151704000
151776000,151968000
152112000,152288000
152376000,152600000
153688000,153848000
153992000,154176000
154296000,154456000
154504000,154672000
154992000,155176000
155216000,155376000
159584000,159720000
159808000,159936000
160712000,160832000
160920000,161048000
